year,r_var,variable,description,documentation,var_type,skip
1989,na,,,,Char,8
1989,st_fips,,,,Num,8
1989,cty_fips,,,,Num,8
1989,cty_name,,,,Char,8
1989,return,,,,Num,8
1989,exmpt,,,,Num,8
1989,agi,,,,Num,8
1989,wages,,,,Num,8
1989,dividends,,,,Num,8
1989,interest,,,,Num,8
1990,na,,,,Char,8
1990,st_fips,,,,Num,8
1990,cty_fips,,,,Num,8
1990,cty_name,,,,Char,8
1990,return,,,,Num,8
1990,exmpt,,,,Num,8
1990,agi,,,,Num,8
1990,wages,,,,Num,8
1990,dividends,,,,Num,8
1990,interest,,,,Num,8
1991,na,,,,Char,8
1991,st_fips,,,,Num,8
1991,cty_fips,,,,Num,8
1991,cty_name,,,,Char,8
1991,return,,,,Num,8
1991,exmpt,,,,Num,8
1991,agi,,,,Num,8
1991,wages,,,,Num,8
1991,dividends,,,,Num,8
1991,interest,,,,Num,8
1992,na,,,,Char,8
1992,st_fips,,,,Num,8
1992,cty_fips,,,,Num,8
1992,cty_name,,,,Char,8
1992,return,,,,Num,8
1992,exmpt,,,,Num,8
1992,agi,,,,Num,8
1992,wages,,,,Num,8
1992,dividends,,,,Num,8
1992,interest,,,,Num,8
1993,na,,,,Char,8
1993,st_fips,,,,Num,8
1993,cty_fips,,,,Num,8
1993,cty_name,,,,Char,8
1993,return,,,,Num,8
1993,exmpt,,,,Num,8
1993,agi,,,,Num,8
1993,wages,,,,Num,8
1993,dividends,,,,Num,8
1993,interest,,,,Num,8
1994,na,,,,Char,8
1994,st_fips,,,,Num,8
1994,cty_fips,,,,Num,8
1994,cty_name,,,,Char,8
1994,return,,,,Num,8
1994,exmpt,,,,Num,8
1994,agi,,,,Num,8
1994,wages,,,,Num,8
1994,dividends,,,,Num,8
1994,interest,,,,Num,8
1995,na,,,,Char,8
1995,st_fips,,,,Num,8
1995,cty_fips,,,,Num,8
1995,cty_name,,,,Char,8
1995,return,,,,Num,8
1995,exmpt,,,,Num,8
1995,agi,,,,Num,8
1995,wages,,,,Num,8
1995,dividends,,,,Num,8
1995,interest,,,,Num,8
1996,na,,,,Char,8
1996,st_fips,,,,Num,8
1996,cty_fips,,,,Num,8
1996,cty_name,,,,Char,8
1996,return,,,,Num,8
1996,exmpt,,,,Num,8
1996,agi,,,,Num,8
1996,wages,,,,Num,8
1996,dividends,,,,Num,8
1996,interest,,,,Num,8
1997,na,,,,Char,8
1997,st_fips,,,,Num,8
1997,cty_fips,,,,Num,8
1997,cty_name,,,,Char,8
1997,return,,,,Num,8
1997,exmpt,,,,Num,8
1997,agi,,,,Num,8
1997,wages,,,,Num,8
1997,dividends,,,,Num,8
1997,interest,,,,Num,8
1998,na,,,,Char,8
1998,st_fips,,,,Num,8
1998,cty_fips,,,,Num,8
1998,cty_name,,,,Char,8
1998,return,,,,Num,8
1998,exmpt,,,,Num,8
1998,agi,,,,Num,8
1998,wages,,,,Num,8
1998,dividends,,,,Num,8
1998,interest,,,,Num,8
1999,na,,,,Char,8
1999,st_fips,,,,Num,8
1999,cty_fips,,,,Num,8
1999,cty_name,,,,Char,8
1999,return,,,,Num,8
1999,exmpt,,,,Num,8
1999,agi,,,,Num,8
1999,wages,,,,Num,8
1999,dividends,,,,Num,8
1999,interest,,,,Num,8
2000,na,,,,Char,8
2000,st_fips,,,,Num,8
2000,cty_fips,,,,Num,8
2000,cty_name,,,,Char,8
2000,return,,,,Num,8
2000,exmpt,,,,Num,8
2000,agi,,,,Num,8
2000,wages,,,,Num,8
